city,weather_data,lat,lon,temp,humid,wind,clouds
airai,"{'coord': {'lon': 125.41, 'lat': -8.93}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 67.9, 'pressure': 1009.02, 'humidity': 88, 'temp_min': 67.9, 'temp_max': 67.9, 'sea_level': 1009.02, 'grnd_level': 933.45}, 'wind': {'speed': 1.48, 'deg': 118.505}, 'clouds': {'all': 8}, 'dt': 1551562553, 'sys': {'message': 0.0043, 'country': 'TL', 'sunrise': 1551476555, 'sunset': 1551520687}, 'id': 1651810, 'name': 'Airai', 'cod': 200}",-8.93,125.41,67.9,88,1.48,8
bintulu,"{'coord': {'lon': 113.03, 'lat': 3.17}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 75.04, 'pressure': 1008, 'humidity': 100, 'temp_min': 75, 'temp_max': 75.2}, 'visibility': 10000, 'wind': {'speed': 3.36}, 'clouds': {'all': 75}, 'dt': 1551560400, 'sys': {'type': 1, 'id': 9365, 'message': 0.0035, 'country': 'MY', 'sunrise': 1551479892, 'sunset': 1551523302}, 'id': 1737486, 'name': 'Bintulu', 'cod': 200}",3.17,113.03,75.04,100,3.36,75
yellowknife,"{'coord': {'lon': -114.38, 'lat': 62.45}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': -0.41, 'pressure': 1044, 'humidity': 37, 'temp_min': -0.41, 'temp_max': -0.41}, 'visibility': 24140, 'wind': {'speed': 9.17, 'deg': 330}, 'clouds': {'all': 20}, 'dt': 1551560400, 'sys': {'type': 1, 'id': 1007, 'message': 0.004, 'country': 'CA', 'sunrise': 1551537305, 'sunset': 1551575107}, 'id': 6185377, 'name': 'Yellowknife', 'cod': 200}",62.45,-114.38,-0.41,37,9.17,20
constitucion,"{'coord': {'lon': -104.67, 'lat': 23.99}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 84.58, 'pressure': 1021, 'humidity': 6, 'temp_min': 84.2, 'temp_max': 84.99}, 'visibility': 22530, 'wind': {'speed': 9.17, 'deg': 160}, 'clouds': {'all': 5}, 'dt': 1551562816, 'sys': {'type': 1, 'id': 7113, 'message': 0.0036, 'country': 'MX', 'sunrise': 1551532753, 'sunset': 1551574939}, 'id': 4011743, 'name': 'Constitucion', 'cod': 200}",23.99,-104.67,84.58,6,9.17,5
rikitea,"{'coord': {'lon': -134.97, 'lat': -23.12}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 78.7, 'pressure': 1014.18, 'humidity': 100, 'temp_min': 78.7, 'temp_max': 78.7, 'sea_level': 1014.18, 'grnd_level': 1014.01}, 'wind': {'speed': 9.75, 'deg': 123.505}, 'clouds': {'all': 0}, 'dt': 1551562955, 'sys': {'message': 0.003, 'country': 'PF', 'sunrise': 1551538589, 'sunset': 1551583604}, 'id': 4030556, 'name': 'Rikitea', 'cod': 200}",-23.12,-134.97,78.7,100,9.75,0
xinzhi,"{'coord': {'lon': 120.62, 'lat': 22.54}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 68.61, 'pressure': 1009, 'humidity': 88, 'temp_min': 66.2, 'temp_max': 70}, 'visibility': 9000, 'wind': {'speed': 6.93, 'deg': 80}, 'clouds': {'all': 40}, 'dt': 1551562802, 'sys': {'type': 1, 'id': 7940, 'message': 0.0032, 'country': 'TW', 'sunrise': 1551478668, 'sunset': 1551520899}, 'id': 1670479, 'name': 'Xinzhi', 'cod': 200}",22.54,120.62,68.61,88,6.93,40
changji,"{'coord': {'lon': 116.17, 'lat': 32.07}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 39.37, 'pressure': 1017.46, 'humidity': 98, 'temp_min': 39.37, 'temp_max': 39.37, 'sea_level': 1017.46, 'grnd_level': 1010.57}, 'wind': {'speed': 3.38, 'deg': 316.505}, 'rain': {'3h': 0.165}, 'clouds': {'all': 80}, 'dt': 1551563219, 'sys': {'message': 0.0043, 'country': 'CN', 'sunrise': 1551480077, 'sunset': 1551521635}, 'id': 1790885, 'name': 'Changji', 'cod': 200}",32.07,116.17,39.37,98,3.38,80
honiara,"{'coord': {'lon': 159.96, 'lat': -9.43}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 75.55, 'pressure': 1008.02, 'humidity': 91, 'temp_min': 75.55, 'temp_max': 75.55, 'sea_level': 1008.02, 'grnd_level': 972.33}, 'wind': {'speed': 2.15, 'deg': 302.005}, 'clouds': {'all': 12}, 'dt': 1551563220, 'sys': {'message': 0.004, 'country': 'SB', 'sunrise': 1551468247, 'sunset': 1551512413}, 'id': 2108502, 'name': 'Honiara', 'cod': 200}",-9.43,159.96,75.55,91,2.15,12
gravdal,"{'coord': {'lon': 5.78, 'lat': 59.79}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 41.85, 'pressure': 993, 'humidity': 100, 'temp_min': 39, 'temp_max': 44.01}, 'visibility': 5000, 'wind': {'speed': 13.87, 'deg': 170}, 'rain': {'1h': 0.25}, 'clouds': {'all': 92}, 'dt': 1551563125, 'sys': {'type': 1, 'id': 1631, 'message': 0.0051, 'country': 'NO', 'sunrise': 1551508227, 'sunset': 1551546509}, 'id': 3147822, 'name': 'Gravdal', 'cod': 200}",59.79,5.78,41.85,100,13.87,92
albany,"{'coord': {'lon': -73.75, 'lat': 42.65}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 34.56, 'pressure': 1016, 'humidity': 47, 'temp_min': 30, 'temp_max': 37.99}, 'visibility': 16093, 'wind': {'speed': 1.81, 'deg': 255.505}, 'clouds': {'all': 90}, 'dt': 1551563104, 'sys': {'type': 1, 'id': 3273, 'message': 0.0063, 'country': 'US', 'sunrise': 1551526074, 'sunset': 1551566800}, 'id': 5106834, 'name': 'Albany', 'cod': 200}",42.65,-73.75,34.56,47,1.81,90
hithadhoo,"{'coord': {'lon': 73.08, 'lat': -0.6}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 82.52, 'pressure': 1008.74, 'humidity': 100, 'temp_min': 82.52, 'temp_max': 82.52, 'sea_level': 1008.74, 'grnd_level': 1008.65}, 'wind': {'speed': 13.78, 'deg': 20.5049}, 'clouds': {'all': 20}, 'dt': 1551563221, 'sys': {'message': 0.0043, 'country': 'MV', 'sunrise': 1551489366, 'sunset': 1551532998}, 'id': 1282256, 'name': 'Hithadhoo', 'cod': 200}",-0.6,73.08,82.52,100,13.78,20
busselton,"{'coord': {'lon': 115.35, 'lat': -33.64}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 56.97, 'pressure': 1013, 'humidity': 52, 'temp_min': 54, 'temp_max': 60.01}, 'wind': {'speed': 13.78, 'deg': 124.005}, 'clouds': {'all': 0}, 'dt': 1551563221, 'sys': {'type': 3, 'id': 2011706, 'message': 0.0035, 'country': 'AU', 'sunrise': 1551478061, 'sunset': 1551523984}, 'id': 2075265, 'name': 'Busselton', 'cod': 200}",-33.64,115.35,56.97,52,13.78,0
qingdao,"{'coord': {'lon': 120.35, 'lat': 36.09}, 'weather': [{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}], 'base': 'stations', 'main': {'temp': 39.2, 'pressure': 1015, 'humidity': 60, 'temp_min': 39.2, 'temp_max': 39.2}, 'visibility': 5000, 'wind': {'speed': 2.24, 'deg': 70}, 'clouds': {'all': 68}, 'dt': 1551560400, 'sys': {'type': 1, 'id': 9657, 'message': 0.005, 'country': 'CN', 'sunrise': 1551479238, 'sunset': 1551520472}, 'id': 1797929, 'name': 'Qingdao', 'cod': 200}",36.09,120.35,39.2,60,2.24,68
skjervoy,"{'coord': {'lon': 20.97, 'lat': 70.03}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 22.72, 'pressure': 1000.98, 'humidity': 100, 'temp_min': 22.72, 'temp_max': 22.72, 'sea_level': 1000.98, 'grnd_level': 988.17}, 'wind': {'speed': 11.99, 'deg': 229.005}, 'clouds': {'all': 48}, 'dt': 1551562726, 'sys': {'message': 0.0037, 'country': 'NO', 'sunrise': 1551506181, 'sunset': 1551541302}, 'id': 777682, 'name': 'Skjervoy', 'cod': 200}",70.03,20.97,22.72,100,11.99,48
mitchell,"{'coord': {'lon': -98.03, 'lat': 43.71}, 'weather': [{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}], 'base': 'stations', 'main': {'temp': 7.18, 'pressure': 1034, 'humidity': 65, 'temp_min': 6.01, 'temp_max': 8.6}, 'visibility': 4023, 'wind': {'speed': 14.99, 'deg': 350}, 'clouds': {'all': 90}, 'dt': 1551563104, 'sys': {'type': 1, 'id': 4891, 'message': 0.0066, 'country': 'US', 'sunrise': 1551531947, 'sunset': 1551572580}, 'id': 5229794, 'name': 'Mitchell', 'cod': 200}",43.71,-98.03,7.18,65,14.99,90
clyde river,"{'coord': {'lon': -68.59, 'lat': 70.47}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 3.2, 'pressure': 1003, 'humidity': 84, 'temp_min': 3.2, 'temp_max': 3.2}, 'visibility': 16093, 'wind': {'speed': 23.04, 'deg': 320, 'gust': 12.9}, 'clouds': {'all': 75}, 'dt': 1551560400, 'sys': {'type': 1, 'id': 776, 'message': 0.0046, 'country': 'CA', 'sunrise': 1551527707, 'sunset': 1551562761}, 'id': 5924351, 'name': 'Clyde River', 'cod': 200}",70.47,-68.59,3.2,84,23.04,75
barrow,"{'coord': {'lon': -60.23, 'lat': -38.31}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 72.94, 'pressure': 1013.54, 'humidity': 41, 'temp_min': 72.94, 'temp_max': 72.94, 'sea_level': 1013.54, 'grnd_level': 1001.77}, 'wind': {'speed': 10.09, 'deg': 196.005}, 'clouds': {'all': 0}, 'dt': 1551563226, 'sys': {'message': 0.0032, 'country': 'AR', 'sunrise': 1551520001, 'sunset': 1551566303}, 'id': 3833859, 'name': 'Barrow', 'cod': 200}",-38.31,-60.23,72.94,41,10.09,0
touros,"{'coord': {'lon': -35.46, 'lat': -5.2}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 79.24, 'pressure': 1012.82, 'humidity': 93, 'temp_min': 79.24, 'temp_max': 79.24, 'sea_level': 1012.82, 'grnd_level': 1008.57}, 'wind': {'speed': 5.39, 'deg': 59.5049}, 'clouds': {'all': 48}, 'dt': 1551562990, 'sys': {'message': 0.0042, 'country': 'BR', 'sunrise': 1551515277, 'sunset': 1551559175}, 'id': 3386213, 'name': 'Touros', 'cod': 200}",-5.2,-35.46,79.24,93,5.39,48
castro,"{'coord': {'lon': -73.76, 'lat': -42.48}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 59, 'pressure': 1017, 'humidity': 67, 'temp_min': 59, 'temp_max': 59}, 'wind': {'speed': 5.82, 'deg': 120}, 'clouds': {'all': 75}, 'dt': 1551560400, 'sys': {'type': 1, 'id': 8512, 'message': 0.0035, 'country': 'CL', 'sunrise': 1551523024, 'sunset': 1551569767}, 'id': 3896218, 'name': 'Castro', 'cod': 200}",-42.48,-73.76,59.0,67,5.82,75
antalaha,"{'coord': {'lon': 50.28, 'lat': -14.9}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 75.5, 'pressure': 1012.14, 'humidity': 100, 'temp_min': 75.5, 'temp_max': 75.5, 'sea_level': 1012.14, 'grnd_level': 999.45}, 'wind': {'speed': 6.4, 'deg': 195.005}, 'rain': {'3h': 9.535}, 'clouds': {'all': 68}, 'dt': 1551563229, 'sys': {'message': 0.0031, 'country': 'MG', 'sunrise': 1551494398, 'sunset': 1551538896}, 'id': 1071296, 'name': 'Antalaha', 'cod': 200}",-14.9,50.28,75.5,100,6.4,68
rio gallegos,"{'coord': {'lon': -69.22, 'lat': -51.62}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 57.2, 'pressure': 999, 'humidity': 76, 'temp_min': 57.2, 'temp_max': 57.2}, 'visibility': 10000, 'wind': {'speed': 11.41, 'deg': 200}, 'clouds': {'all': 40}, 'dt': 1551560400, 'sys': {'type': 1, 'id': 8293, 'message': 0.0037, 'country': 'AR', 'sunrise': 1551521297, 'sunset': 1551569295}, 'id': 3838859, 'name': 'Rio Gallegos', 'cod': 200}",-51.62,-69.22,57.2,76,11.41,40
